provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Asturias,2020-01-08,0,0,0,0,0,0,1,0,0,13.4,0,9,17.7,22,2.8,8.3,6.1,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-08,0,0,0,0,0,0,0,0,0,11.8,0,4.9,18.7,99,1.7,6.1,9.4,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-09,0,0,0,0,0,0,1,0,0,10.2,4.9,5.7,14.7,99,4.7,8.3,5.5,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-09,0,0,0,0,0,0,1,0,0,6.5,0,-0.6,13.6,21,1.7,6.1,8.2,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-09,0,0,0,0,0,0,0,0,0,12.6,0,8.4,16.8,30,2.8,6.1,3.9,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-09,0,0,0,0,0,0,0,0,0,14.4,5.5,8.7,20.2,29,7.8,24.2,4.3,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-09,0,0,0,0,0,0,0,0,0,10.2,0,4.2,16.2,25,1.7,5.8,9.2,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-10,1,0,0,1,0,0,1,0,0,9.6,16.2,6.8,12.5,36,3.3,14.4,0,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-10,1,1,0,0,0,0,2,0,0,6,0,-0.2,12.3,35,3.6,10.8,8,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-10,0,0,0,0,0,0,0,0,0,13,0,7.9,18.2,28,6.9,13.3,7.8,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-10,0,0,0,0,0,0,0,0,0,8.2,0.6,4.9,11.6,28,2.2,16.1,1.9,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-10,0,0,0,0,0,0,0,0,0,10.2,0,4.2,16.1,3,1.4,7.8,7.7,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-11,0,0,0,0,0,0,0,0,0,8.2,0,4.2,12.3,99,4.4,9.7,5.7,NA,NA,NA,NA,NA,NA,NA
