provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Barcelona,2020-07-08,239,236,0,2,1,0,4,0,0,25.2,0,21.6,28.8,17,3.9,8.3,11.7,-7,21,8,-17,-26,-36,25.47
Madrid,2020-07-08,81,81,0,0,0,0,8,0,0,29.8,0,22.8,36.9,14,5.3,17.5,4,-10,0,10,-25,-38,-42,22.86
Málaga,2020-07-08,7,7,0,0,0,0,1,0,1,27.6,0,22.7,32.4,9,3.1,7.8,8.6,-4,37,5,-7,-23,-29,20.49
Asturias,2020-07-08,2,2,0,0,0,0,0,0,0,19.5,0,17.4,21.6,10,4.4,10.8,7.8,4,159,1,-2,-25,-24,22.54
Sevilla,2020-07-08,0,0,0,0,0,0,0,0,0,29.2,0,21.9,36.6,30.555555555555557,3.4538461538461536,11.822222222222221,13,-13,-13,4,-20,-34,-31,20.06
Barcelona,2020-07-09,251,251,0,0,0,0,6,0,1,25.4,0,21.6,29.1,99,3.6,8.3,8.6,-6,15,9,-18,-27,-36,23.487499999999997
Madrid,2020-07-09,71,71,0,0,0,0,12,0,0,27.8,0,20.8,34.8,1,3.6,14.4,9.1,-11,-3,10,-26,-39,-42,20.615
Málaga,2020-07-09,5,5,0,0,0,0,2,0,0,25.2,0,20.6,29.8,99,4.2,8.3,13.1,-3,46,4,-6,-23,-29,19.322499999999998
Asturias,2020-07-09,0,0,0,0,0,0,1,0,0,18.6,0.6,16,21.1,99,1.9,5,13.3,4,161,1,-2,-27,-26,21.515
Sevilla,2020-07-09,0,0,0,0,0,0,0,0,0,27,0,20.8,33.1,27.70370370370371,3.3769230769230765,11.781481481481482,11.7,-12,-9,4,-18,-33,-31,18.27
Barcelona,2020-07-10,374,371,0,2,0,1,10,1,0,26.4,0,22.7,30,8,4.4,11.4,7.7,-10,8,7,-24,-29,-35,21.505
Madrid,2020-07-10,91,91,0,0,0,0,9,0,0,25.9,0,17.5,34.3,10,2.5,8.3,12.8,-19,-5,7,-36,-41,-41,18.37
Málaga,2020-07-10,12,12,0,0,0,0,1,0,0,24.6,0,19.6,29.5,12,4.2,8.9,13,-4,40,5,-11,-26,-28,18.155
Asturias,2020-07-10,2,2,0,0,0,0,0,0,0,16.8,0.7,15.2,18.4,8,2.2,7.2,0,3,70,3,-11,-31,-26,20.490000000000002
Sevilla,2020-07-10,2,2,0,0,0,0,0,0,0,28.4,0,19.6,37.3,24.851851851851862,3.3,11.74074074074074,12.4,-18,-22,3,-29,-40,-30,16.48
Barcelona,2020-07-11,221,217,0,3,0,1,10,0,3,24.8,0,21,28.7,21,4.2,9.2,11.9,-19,12,0,-33,-26,-3,19.5225
Madrid,2020-07-11,53,53,0,0,0,0,4,0,0,29,0,20.4,37.5,14,3.3,10.3,13,-26,-14,0,-45,-40,3,16.125
Málaga,2020-07-11,7,7,0,0,0,0,2,0,0,24.8,0,20.8,28.9,11,2.8,8.9,7.2,-7,35,1,-18,-23,-5,16.9875
Asturias,2020-07-11,3,3,0,0,0,0,0,0,0,19.2,0.35,16.6,21.8,10,5.3,13.3,3.3,-3,89,0,-19,-28,-1,19.465
Sevilla,2020-07-11,1,1,0,0,0,0,0,0,0,31.2,0,21.9,40.4,22,2.8,11.7,11.2,-26,-40,-1,-41,-46,-2,14.69
Barcelona,2020-07-12,238,234,0,2,0,2,7,1,0,25,0,22,28.1,11,3.3,8.9,4.5,-23,2,-3,-39,-29,3,17.54
Madrid,2020-07-12,57,57,0,0,0,0,5,0,0,27.8,0,20.7,34.9,17,2.5,12.8,12.2,-22,-17,-3,-41,-43,13,13.88
Málaga,2020-07-12,6,6,0,0,0,0,1,0,0,26.6,0,23.4,29.8,11,3.6,8.3,10.8,32,13,-2,-18,-30,2,15.82
Asturias,2020-07-12,0,0,0,0,0,0,0,0,0,19.8,0,17,22.7,8,4.4,15,12.4,1,98,-5,-13,-23,9,18.44
Sevilla,2020-07-12,0,0,0,0,0,0,0,0,0,31.4,0,23.9,38.8,99,3.9,9.2,13.1,-33,-51,-5,-47,-49,6,12.9
Barcelona,2020-07-13,462,451,0,9,2,0,10,2,0,25.8,0.3,23.1,28.5,21,3.6,8.3,6.8,-10,4,9,-20,-31,-38,20.326666666666664
Madrid,2020-07-13,120,120,0,0,0,0,9,1,1,26.2,0,16.7,35.8,3,1.9,10.8,11.4,-12,13,7,-21,-38,-42,17.233333333333334
Málaga,2020-07-13,10,10,0,0,0,0,2,0,0,27,0,22.6,31.3,17,4.2,10.8,12.8,-5,36,5,-4,-24,-29,17.52
Asturias,2020-07-13,0,0,0,0,0,0,0,0,0,18.4,0,14.6,22.3,10,3.1,7.8,14.1,5,195,-1,1,-22,-25,19.853333333333335
Sevilla,2020-07-13,4,4,0,0,0,0,0,0,0,31.4,0,24.1,38.7,21,3.9,10.3,13.5,-17,-16,4,-20,-37,-32,15.913333333333334
Barcelona,2020-07-14,443,438,0,5,0,0,13,0,0,25.2,0,21.7,28.7,99,4.4,8.3,8.1,-6,16,8,-17,-27,-37,23.11333333333333
Madrid,2020-07-14,178,177,0,0,0,1,17,2,1,27,0,19.3,34.7,11,2.2,10.3,11.2,-13,12,8,-24,-39,-43,20.586666666666666
Málaga,2020-07-14,18,18,0,0,0,0,2,0,0,26,0,21.6,30.4,99,4.4,8.9,10.8,-5,48,4,-5,-21,-30,19.220000000000002
Asturias,2020-07-14,2,2,0,0,0,0,0,0,0,17.1,1.6,13.8,20.4,21,1.7,6.7,11.6,5,165,0,-2,-23,-26,21.266666666666666
Sevilla,2020-07-14,5,5,0,0,0,0,0,0,0,31.2,0,24,38.4,99,4.4,12.8,13.4,-16,-11,4,-20,-35,-32,18.92666666666667
Barcelona,2020-07-15,565,557,0,4,1,3,17,1,0,24.6,51.6,20.8,28.4,22,4.4,10.3,9.5,-7,14,8,-18,-29,-35,25.9
Madrid,2020-07-15,135,134,0,0,0,1,9,0,1,25.8,0,17.2,34.3,99,2.2,10.3,13.9,-12,11,8,-24,-39,-40,23.94
Málaga,2020-07-15,16,16,0,0,0,0,0,0,0,26.1,0,22.5,29.7,14,3.9,8.3,12.2,-2,43,4,-4,-22,-28,20.92
Asturias,2020-07-15,2,2,0,0,0,0,0,0,0,17.6,0,15.4,19.9,6,2.2,6.1,4.5,9,151,1,1,-24,-24,22.68
Sevilla,2020-07-15,8,8,0,0,0,0,0,0,0,31.8,0,23.4,40.2,7,4.2,11.7,13.433333333333334,-15,-16,4,-20,-37,-30,21.94
Barcelona,2020-07-16,537,532,0,3,1,1,12,0,0,22.7,0.1,19.6,25.8,7,3.3,11.7,2.9,-8,-1,10,-20,-32,-36,23.404999999999998
Madrid,2020-07-16,100,100,0,0,0,0,12,1,0,27.2,0,17.9,36.5,99,2.2,10.3,13.7,-13,3,8,-27,-41,-42,21.3325
Málaga,2020-07-16,21,21,0,0,0,0,3,0,0,26.6,0,22,31.2,13,3.9,8.9,12.5,-6,51,5,-4,-24,-32,19.6475
Asturias,2020-07-16,1,1,0,0,0,0,0,0,0,18.6,0,16,21.1,6,4.4,9.7,9.4,5,167,1,1,-25,-26,21.61
Sevilla,2020-07-16,3,3,0,0,0,0,0,0,0,32.8,0,24.7,40.8,37.666666666666664,4.300000000000001,11.233333333333333,13.466666666666667,-17,-23,4,-22,-41,-31,19.5625
Barcelona,2020-07-17,688,683,0,5,0,0,12,3,1,25,0.7,22.6,27.3,99,3.9,9.2,7.4,-12,1,8,-27,-34,-35,20.91
Madrid,2020-07-17,199,199,0,0,0,0,18,0,1,28.4,0,20.4,36.3,30,3.9,11.4,13.5,-20,-9,7,-37,-42,-41,18.725
Málaga,2020-07-17,15,15,0,0,0,0,1,0,0,25.9,0,21.4,30.4,99,4.2,8.3,12.2,-2,41,5,-11,-27,-28,18.375
Asturias,2020-07-17,1,1,0,0,0,0,0,0,0,19.6,0,16.8,22.4,11,6.9,15.3,12.1,4,143,0,-9,-23,-25,20.54
Sevilla,2020-07-17,6,6,0,0,0,0,0,0,0,31.8,0,23.7,40,68.33333333333333,4.4,10.766666666666667,13.5,-21,-29,4,-32,-45,-31,17.185000000000002
Barcelona,2020-07-18,434,431,0,3,0,0,4,1,0,25.2,0,22.3,28.2,22,4.2,9.2,10.1,-20,-1,3,-39,-34,-4,18.415
Madrid,2020-07-18,145,145,0,0,0,0,10,0,0,26.8,0,16.7,36.8,99,1.7,5.8,14,-28,-14,-1,-46,-41,4,16.1175
Málaga,2020-07-18,12,12,0,0,0,0,0,0,0,25.8,0,22,29.5,14,4.4,8.9,12.4,-7,43,0,-17,-22,-4,17.1025
Asturias,2020-07-18,1,1,0,0,0,0,0,0,0,19.2,0,13.7,24.6,99,5.6,11.4,14.1,-5,151,-4,-19,-19,-1,19.47
Sevilla,2020-07-18,3,3,0,0,0,0,1,0,0,31.2,0,24.9,37.6,99,4.7,10.3,13.5,-27,-42,-1,-42,-48,-3,14.807500000000001
Barcelona,2020-07-19,414,412,0,2,0,0,18,1,1,25.2,0,21.8,28.5,22,5.3,11.9,12.9,-27,-5,-1,-44,-37,4,15.92
Madrid,2020-07-19,108,108,0,0,0,0,9,0,1,28.2,0,18.4,38.1,23,3.1,12.5,13.6,-25,-18,-4,-43,-44,16,13.51
Málaga,2020-07-19,15,15,0,0,0,0,3,0,0,26.1,0,22.2,30,12,3.9,8.9,11.2,38,20,-2,-17,-28,4,15.83
Asturias,2020-07-19,2,2,0,0,0,0,0,0,0,18.9,0,15.7,22.1,34,1.9,6.1,4.5,3,100,-5,-11,-19,9,18.4
Sevilla,2020-07-19,6,6,0,0,0,0,0,0,0,31.1,0,23.6,38.6,99,3.9,9.2,12.433333333333334,-36,-52,-5,-48,-51,7,12.43
Barcelona,2020-07-20,749,739,0,6,4,0,9,0,1,25.2,0,21.6,28.8,99,3.3,8.3,7.5,-10,9,9,-23,-35,-37,18.6
Madrid,2020-07-20,200,200,0,0,0,0,9,1,1,28,0,17.7,38.2,23,2.5,10.3,13.2,-14,6,7,-25,-40,-44,16.44333333333333
Málaga,2020-07-20,22,22,0,0,0,0,2,0,0,27,0,22.3,31.7,12,3.9,9.2,12.3,-3,46,5,-2,-22,-27,16.413333333333334
Asturias,2020-07-20,1,1,0,0,0,0,0,0,0,19.2,0,17.4,20.9,3,2.2,7.2,0.9,11,135,2,3,-21,-27,19.996666666666666
Sevilla,2020-07-20,11,11,0,0,0,0,0,0,0,32.8,0.9,22.4,43.2,23,3.1,14.4,11.366666666666667,-20,-23,4,-23,-41,-32,15.143333333333333
Barcelona,2020-07-21,745,719,0,9,15,2,12,0,3,25,0,21.7,28.4,99,3.3,6.7,12.5,-11,10,10,-24,-34,-37,21.28
Madrid,2020-07-21,244,244,0,0,0,0,9,0,1,28.4,3,20.2,36.7,3,3.3,11.7,6.1,-16,5,8,-28,-42,-44,19.376666666666665
Málaga,2020-07-21,20,20,0,0,0,0,1,0,0,27.2,0.2,24.6,29.7,5,3.3,9.7,10.6,-2,52,5,-2,-21,-28,16.996666666666666
Asturias,2020-07-21,2,2,0,0,0,0,2,0,0,20.2,0,17.8,22.5,99,3.3,8.9,2.5,8,150,2,0,-22,-27,21.593333333333334
Sevilla,2020-07-21,14,14,0,0,0,0,0,0,0,29.4,0,24.9,34,23,4.2,11.4,10.3,-18,-14,4,-22,-40,-31,17.856666666666666
Barcelona,2020-07-22,778,763,0,10,4,1,14,5,1,25.8,0,21.4,30.2,99,3.9,7.2,9,-10,8,10,-24,-35,-37,23.96
Madrid,2020-07-22,229,229,0,0,0,0,20,0,1,26.6,0,18.6,34.7,22,1.7,7.8,11,-16,4,9,-28,-42,-41,22.31
Málaga,2020-07-22,19,19,0,0,0,0,0,0,0,26.6,0,22.7,30.6,14,3.6,9.2,8.6,-1,53,5,-2,-21,-28,17.58
Asturias,2020-07-22,2,2,0,0,0,0,0,0,0,19,0,16,22.1,22,1.9,7.2,12,4,235,0,1,-19,-24,23.19
Sevilla,2020-07-22,12,12,0,0,0,0,1,0,0,29,0,22.5,35.6,22,3.1,9.2,12.3,-18,-16,4,-23,-40,-31,20.57
Barcelona,2020-07-23,778,771,0,4,3,0,20,1,0,26.8,0,22.8,30.8,99,3.3,6.7,10.4,-10,9,10,-23,-35,-37,21.990000000000002
Madrid,2020-07-23,212,212,0,0,0,0,14,0,0,28.1,0,18.9,37.3,99,2.5,8.3,12.2,-17,0,9,-30,-43,-41,20.0225
Málaga,2020-07-23,30,30,0,0,0,0,1,0,0,26.4,0,23.4,29.5,13,4.4,9.7,12.1,0,63,4,-3,-22,-28,16.4075
Asturias,2020-07-23,4,4,0,0,0,0,0,0,0,20,0,18,21.9,31,2.2,5,1.8,10,183,2,1,-23,-25,21.89
Sevilla,2020-07-23,14,14,0,0,0,0,0,0,0,31.1,0,22.7,39.5,99,3.6,10.3,12.700000000000001,-18,-20,4,-24,-43,-32,18.445
Barcelona,2020-07-24,831,826,0,1,4,0,10,0,1,26.8,0,23.6,30,99,4.4,8.9,10.3,-14,0,9,-30,-37,-36,20.02
Madrid,2020-07-24,353,353,0,0,0,0,16,1,1,29.4,0,20.6,38.1,6,3.3,11.7,12.3,-24,-12,7,-41,-44,-40,17.735
Málaga,2020-07-24,29,29,0,0,0,0,1,0,0,27.4,0,22.8,31.9,11,4.7,10.8,12.4,-6,53,5,-10,-25,-28,15.235
Asturias,2020-07-24,3,3,0,0,0,0,0,0,0,18.4,0,15.4,21.3,26,3.1,6.7,10.7,7,157,1,-6,-21,-25,20.59
Sevilla,2020-07-24,34,34,0,0,0,0,1,0,0,32.4,0,24.7,40,99,2.5,9.2,13.1,-21,-28,4,-33,-46,-31,16.32
Barcelona,2020-07-25,491,483,0,7,1,0,18,0,3,26.8,0,23.9,29.7,22,4.2,8.3,12,-21,4,2,-39,-34,-4,18.049999999999997
Madrid,2020-07-25,276,276,0,0,0,0,17,0,0,29.6,0,21.1,38.1,20,2.8,10.8,13.5,-30,-18,-1,-48,-43,5,15.4475
Málaga,2020-07-25,28,28,0,0,0,0,2,0,1,27.7,0,23.4,32,11,3.1,7.8,12,-5,50,0,-15,-20,-4,14.0625
Asturias,2020-07-25,8,8,0,0,0,0,0,0,0,18.2,0,13.9,22.5,99,3.1,6.7,11.8,-3,163,-3,-17,-18,-1,19.29
Sevilla,2020-07-25,20,20,0,0,0,0,0,0,0,31.4,0,22.4,40.3,99,2.8,7.8,13.5,-27,-43,0,-44,-49,-3,14.195
Barcelona,2020-07-26,436,431,0,5,0,0,15,1,4,26,0,23,29,99,3.3,7.2,11.8,-26,-2,-1,-44,-37,6,16.08
Madrid,2020-07-26,248,248,0,0,0,0,14,3,0,29.4,0,19,39.8,23,2.8,10.3,13.6,-26,-23,-4,-45,-46,20,13.16
Málaga,2020-07-26,23,23,0,0,0,0,0,0,0,26.2,0,21.4,31,12,4.4,9.7,12.2,47,24,-2,-14,-26,5,12.89
Asturias,2020-07-26,7,7,0,0,0,0,1,0,0,19.8,0,16.6,23.1,99,3.6,8.3,8.6,3,108,-5,-7,-17,11,17.99
Sevilla,2020-07-26,18,18,0,0,0,0,0,1,0,33,0,23.7,42.4,99,2.5,9.7,13.3,-37,-54,-5,-48,-52,9,12.07
Barcelona,2020-07-27,852,842,0,8,2,0,20,3,6,26.4,0,22.9,30,99,4.7,8.9,12.1,-12,12,9,-23,-36,-41,18.66333333333333
Madrid,2020-07-27,490,490,0,0,0,0,39,2,0,31.4,0,21.5,41.2,26,3.6,10.8,12.7,-16,-1,7,-27,-43,-45,16.086666666666666
Málaga,2020-07-27,45,45,0,0,0,0,3,0,0,28.4,0,24.5,32.4,99,3.6,9.2,12,-2,52,5,-2,-22,-30,13.6
Asturias,2020-07-27,6,6,0,0,0,0,0,0,0,20.4,1.2,16.9,24,99,2.8,9.2,11.2,9,234,-1,2,-17,-26,19.34
Sevilla,2020-07-27,20,20,0,0,0,0,0,0,0,30.4,0,24.7,36,99,5,9.7,13.333333333333334,-18,-17,4,-22,-40,-34,14.833333333333332
Barcelona,2020-07-28,825,817,0,5,3,0,15,0,1,26.9,0,23.8,30,7,4.2,9.2,8.3,-10,9,9,-23,-35,-39,21.246666666666663
Madrid,2020-07-28,617,617,0,0,0,0,23,4,0,30.2,0,23.1,37.2,25,2.2,12.5,10,-17,-1,8,-30,-44,-43,19.013333333333335
Málaga,2020-07-28,36,36,0,0,0,0,0,0,0,27.1,0,22.5,31.7,99,4.2,9.7,12.6,-2,61,5,-2,-20,-29,14.31
Asturias,2020-07-28,13,13,0,0,0,0,0,0,0,18.4,3,17.4,19.3,99,3.1,8.3,0,13,90,4,-2,-27,-28,20.689999999999998
Sevilla,2020-07-28,27,27,0,0,0,0,1,0,0,30.6,0,22.6,38.5,26,2.5,10.8,13.366666666666667,-18,-17,4,-24,-40,-33,17.596666666666664
Barcelona,2020-07-29,885,875,0,5,4,1,21,0,3,26.6,0,22.8,30.5,13,3.9,8.3,8,-11,9,9,-23,-36,-40,23.83
Madrid,2020-07-29,537,537,0,0,0,0,46,1,1,30.2,0,21.5,39,99,2.2,7.2,12.7,-17,-1,9,-28,-44,-43,21.94
Málaga,2020-07-29,50,50,0,0,0,0,3,0,0,27,0,23,31.1,13,3.6,8.9,11.8,-1,62,4,-1,-20,-29,15.02
Asturias,2020-07-29,15,15,0,0,0,0,0,0,0,18.6,0.9,16.8,20.3,99,4.7,10.3,0,11,169,3,3,-20,-26,22.04
Sevilla,2020-07-29,23,23,0,0,0,0,0,0,0,30.4,0,23.1,37.6,99,3.1,8.3,13.4,-17,-18,4,-23,-40,-33,20.36
Barcelona,2020-07-30,838,828,0,7,2,1,15,0,5,27.4,0,23.1,31.6,99,3.9,7.8,11.6,-11,3,9,-22,-36,-40,21.74
Madrid,2020-07-30,620,619,0,1,0,0,32,2,0,31.8,0,23.1,40.5,16,2.5,15,10.5,-16,-11,8,-30,-45,-44,19.4875
Málaga,2020-07-30,32,31,0,1,0,0,2,0,0,28.3,0,25.4,31.2,17,3.6,8.9,8.5,-1,60,4,-2,-21,-30,14.0825
Asturias,2020-07-30,12,12,0,0,0,0,0,1,0,21.8,0.45,17.4,26.1,23,2.2,9.7,8.8,0,229,1,-5,-23,-28,20.5
Sevilla,2020-07-30,21,21,0,0,0,0,2,0,0,32.2,0,26,38.4,22,4.7,10.8,13.1,-18,-24,4,-23,-43,-34,18.23
Barcelona,2020-07-31,955,944,0,9,1,1,27,2,2,27.4,0,23.6,31.1,11,4.2,8.9,8.9,-16,-2,8,-28,-37,-39,19.65
Madrid,2020-07-31,780,780,0,0,0,0,48,2,1,29.6,0,19.9,39.3,25,3.6,10.8,10.633333333333333,-23,-19,7,-40,-46,-43,17.035
Málaga,2020-07-31,64,64,0,0,0,0,3,1,0,28,0,24.1,31.9,13,4.2,8.3,8.2,-2,46,5,-9,-24,-28,13.145
Asturias,2020-07-31,12,12,0,0,0,0,0,0,0,20.8,0,17.2,24.3,99,2.2,5.8,5.5,4,148,1,-6,-21,-25,18.96
Sevilla,2020-07-31,26,26,0,0,0,0,0,0,0,31.4,0,24.1,38.6,23,2.8,7.2,12.6,-19,-30,4,-31,-45,-33,16.1
Barcelona,2020-08-01,577,573,0,2,2,0,22,4,5,28,0,23.9,32.1,99,3.6,7.2,12,-22,-4,1,-38,-36,-6,17.560000000000002
Madrid,2020-08-01,671,671,0,0,0,0,41,0,0,28.8,0,18.6,39.1,21,4.4,13.3,10.766666666666667,-28,-27,-2,-49,-45,2,14.582500000000001
Málaga,2020-08-01,65,65,0,0,0,0,2,0,0,34,0,25.4,42.5,26,5,10.3,10.4,-4,42,1,-17,-19,-5,12.2075
Asturias,2020-08-01,17,17,0,0,0,0,0,0,0,17.7,0.7,16.3,19.1,99,2.2,6.1,0,5,72,2,-18,-28,-3,17.42
Sevilla,2020-08-01,44,44,0,0,0,0,2,0,0,33.4,0,24.3,42.6,22,3.9,12.5,12.1,-24,-43,-1,-42,-47,-6,13.969999999999999
Barcelona,2020-08-02,382,379,0,3,0,0,19,1,3,28.4,3.1,25.2,31.5,99,5.8,11.4,9.7,-27,-8,-2,-43,-37,4,15.47
Madrid,2020-08-02,583,583,0,0,0,0,30,2,3,28.6,0,19.7,37.4,21,3.6,13.9,10.9,-25,-25,-3,-45,-48,16,12.13
Málaga,2020-08-02,54,54,0,0,0,0,2,0,0,34.5,0,25.3,43.7,27,5,10.8,11.6,53,17,-1,-16,-27,2,11.27
Asturias,2020-08-02,11,11,0,0,0,0,0,0,0,18.2,0.3,15,21.4,99,2.5,6.1,3.3,11,84,-1,-9,-21,8,15.88
Sevilla,2020-08-02,29,29,0,0,0,0,1,0,0,30.8,0,23,38.7,22,3.9,12.8,13.1,-33,-51,-4,-46,-48,5,11.84
Barcelona,2020-08-03,765,755,0,9,1,0,20,3,1,23.2,0.1,18.9,27.5,3,3.9,9.2,7.5,-10,1,9,-20,-38,-49,17.240000000000002
Madrid,2020-08-03,1009,1009,0,0,0,0,57,3,1,26.4,0,18.9,34,34,4.4,11.7,12.9,-16,2,7,-28,-45,-51,14.213333333333333
Málaga,2020-08-03,84,84,0,0,0,0,3,0,0,32.6,0,25.8,39.5,30,5.3,12.5,11.3,5,59,5,4,-17,-32,12.413333333333332
Asturias,2020-08-03,12,12,0,0,0,0,0,0,0,18.4,0,15.2,21.7,23,1.9,6.1,11.2,17,230,0,11,-14,-28,18.343333333333334
Sevilla,2020-08-03,33,33,0,0,0,0,1,0,0,28.4,0,21.1,35.8,21,3.3,9.7,12.9,-16,-16,4,-21,-42,-40,14.103333333333332
Barcelona,2020-08-04,839,834,0,3,2,0,21,1,5,25,0,22.3,27.7,99,3.9,10.3,9,-13,2,10,-23,-38,-50,19.01
Madrid,2020-08-04,1141,1141,0,0,0,0,65,4,1,25.9,0,17.7,34.1,99,2.2,8.3,13.2,-21,-1,8,-33,-47,-51,16.296666666666667
Málaga,2020-08-04,89,89,0,0,0,0,4,0,0,27.8,0,25.1,30.5,13,2.5,8.3,8.8,4,80,5,6,-13,-32,13.556666666666665
Asturias,2020-08-04,19,19,0,0,0,0,0,0,0,20.2,0,16.4,24,99,2.8,9.2,12.5,13,263,0,5,-13,-29,20.806666666666665
Sevilla,2020-08-04,54,54,0,0,0,0,1,0,0,29.6,0,22.4,36.7,99,3.1,7.2,13.2,-19,-14,5,-24,-42,-40,16.366666666666667
Barcelona,2020-08-05,872,865,0,4,3,0,29,4,3,25,0,21,29,22,4.4,8.3,11.3,-15,6,10,-24,-39,-49,20.78
Madrid,2020-08-05,1088,1087,0,1,0,0,67,7,2,27.3,0,17.9,36.7,23,2.8,9.7,12.9,-21,-7,9,-33,-49,-50,18.38
Málaga,2020-08-05,114,114,0,0,0,0,1,0,0,28.2,0,24.7,31.6,13,3.6,8.9,12.1,4,85,4,9,-16,-31,14.7
Asturias,2020-08-05,38,38,0,0,0,0,0,0,0,19,0,15.4,22.6,24,2.2,7.8,13.5,12,333,-1,9,-11,-28,23.27
Sevilla,2020-08-05,34,34,0,0,0,0,1,0,0,31.9,0,24.2,39.6,16,1.9,9.2,12.95,-20,-20,5,-25,-44,-40,18.63
Barcelona,2020-08-06,783,778,0,1,3,1,24,0,5,26.2,0,22,30.4,99,5.6,10.8,13,-16,4,10,-25,-40,-50,19.2425
Madrid,2020-08-06,1115,1115,0,0,0,0,87,7,2,30.2,0,21.8,38.7,99,2.5,9.7,11.8,-24,-11,9,-37,-50,-51,16.5525
Málaga,2020-08-06,121,121,0,0,0,0,2,1,0,27.9,0,23.5,32.3,12,3.6,7.8,11.8,6,88,4,8,-16,-32,15.0575
Asturias,2020-08-06,39,39,0,0,0,0,1,0,0,20.8,0,15.6,26,29,3.3,9.2,12.2,11,308,0,6,-15,-30,21.7225
Sevilla,2020-08-06,27,27,0,0,0,0,1,0,0,32.4,0,24,40.9,22,3.3,9.7,12.7,-21,-23,5,-28,-48,-40,16.86
Barcelona,2020-08-07,987,984,0,1,2,0,19,2,2,25.9,0,21.9,29.9,99,6.1,12.8,12.6,-22,-4,9,-33,-42,-49,17.705000000000002
Madrid,2020-08-07,1417,1417,0,0,0,0,78,9,3,30.8,0,22.1,39.4,99,2.2,8.3,11.8,-31,-27,8,-48,-52,-50,14.725
Málaga,2020-08-07,150,149,0,1,0,0,3,0,0,27.2,0,23.8,30.5,13,3.6,9.2,11.9,1,69,5,-3,-21,-30,15.415
Asturias,2020-08-07,28,28,0,0,0,0,0,0,0,20.7,0,17.9,23.5,99,6.1,11.4,6.9,9,197,1,-2,-16,-29,20.174999999999997
Sevilla,2020-08-07,43,43,0,0,0,0,2,0,0,30.1,0,24.5,35.7,23,3.9,8.9,12.7,-24,-30,5,-35,-49,-40,15.09
Barcelona,2020-08-08,591,588,0,3,0,0,28,1,2,26.7,0,22.8,30.6,99,6.4,11.4,10.6,-29,-8,1,-43,-39,-11,16.1675
Madrid,2020-08-08,1089,1089,0,0,0,0,59,7,6,30,0,22.5,37.6,19,1.7,8.3,6,-36,-29,-1,-54,-50,0,12.8975
Málaga,2020-08-08,126,124,0,2,0,0,7,0,0,27.8,0,22.8,32.9,29,3.9,7.2,11.2,-1,68,0,-9,-16,-4,15.772499999999999
Asturias,2020-08-08,23,23,0,0,0,0,1,0,0,20,0,16.4,23.7,8,3.3,7.8,11.8,2,179,-3,-15,-13,-1,18.627499999999998
Sevilla,2020-08-08,41,41,0,0,0,0,2,0,0,31.9,0,25.3,38.5,22,4.2,8.9,11.4,-30,-41,0,-44,-51,-9,13.32
Barcelona,2020-08-09,434,431,0,3,0,0,20,1,6,27.9,0,23.9,31.9,25,3.1,9.2,10.6,-31,-12,-2,-46,-40,2,14.63
Madrid,2020-08-09,994,994,0,0,0,0,78,9,1,30,0.35,21.1,38.9,99,3.6,11.4,11.4,-33,-33,-3,-51,-52,17,11.07
Málaga,2020-08-09,103,103,0,0,0,0,5,2,0,27.5,0,21.4,33.6,30,3.9,7.8,11.2,62,41,-2,-5,-22,6,16.13
Asturias,2020-08-09,35,35,0,0,0,0,0,0,0,21,2.5,18.6,23.5,29,2.8,7.8,1,11.5,110,-3,-4,-14,8,17.08
Sevilla,2020-08-09,41,41,0,0,0,0,2,1,0,30.4,0.8,22.5,38.3,99,3.6,9.2,10.850000000000001,-35,-49,-4,-47,-50,4,11.55
Barcelona,2020-08-10,888,883,0,3,2,0,32,4,5,27.2,0,23.3,31,99,5,9.2,8.3,-14,7,9,-25,-43,-58,16.2
Madrid,2020-08-10,1586,1586,0,0,0,0,103,6,6,28.6,0.7,24,33.2,16,2.2,15.3,2.1,-21,-11,8,-33,-50,-54,12.976666666666667
Málaga,2020-08-10,162,162,0,0,0,0,4,0,0,28,0.9,23.7,32.2,9,3.9,8.9,11.4,5,73,5,10,-15,-33,17.52
Asturias,2020-08-10,26,26,0,0,0,0,2,0,0,20.4,0,18.8,21.9,99,3.6,8.3,0,21,212,1,15,-12,-31,18.299999999999997
Sevilla,2020-08-10,58,58,0,0,0,0,3,0,0,29.4,0.2,24,34.9,99,3.9,8.3,10.3,-20,-17,4,-23,-45,-43,13.773333333333333
Barcelona,2020-08-11,802,801,0,1,0,0,25,4,5,27.5,0,23.5,31.5,11,3.9,7.8,5.9,-19,7,10,-29,-44,-58,17.77
Madrid,2020-08-11,2194,2191,0,1,0,2,127,9,3,21.5,18,15.8,27.2,20,3.9,17.5,1.6,-35,-53,12,-47,-57,-56,14.883333333333333
Málaga,2020-08-11,181,181,0,0,0,0,8,1,0,27.8,0,24.4,31.2,26,4.2,10.8,9,3,87,5,8,-15,-33,18.91
